Season,Week,Winner,Loser,wScore,lScore
2023,1,Dirty Terps,Team Filinger,127.7,119.46
2023,5,Average Low's,Team Filinger,131.14,102.72
2023,11,Michael Meyers,Team Filinger,113.84,89.44
2023,12,Team Bucci,Team Filinger,142.66,127
2023,1,McCaffrican Americans,Team Bucci,107.76,77.44
2023,3,Team Filinger,Team Bucci,175.16,122.82
2023,4,Michael Meyers,Team Bucci,120.48,102.8
2023,5,BOX BROS,Team Bucci,127.14,119.56
2023,8,Better Call Hall,Team Bucci,145.06,135.66
2023,1,Michael Meyers,Olave Garden,115.66,108.88
2023,4,McCaffrican Americans,Olave Garden,129.84,96.26
2023,5,Dirty Terps,Olave Garden,176.32,109.08
2023,6,Team Filinger,Olave Garden,137.64,87.94
2023,7,Team Bucci,Olave Garden,102,80.66
2023,8,BOX BROS,Olave Garden,114.06,93.58
2023,10,Michael Meyers,Olave Garden,147.74,137.18
2023,11,Better Call Hall,Olave Garden,130.66,99.64
2023,13,McCaffrican Americans,Olave Garden,127.32,125.26
2023,2,Team Filinger,Michael Meyers,158.4,120.3
2023,5,Loading 2024…..,Michael Meyers,141.92,108.26
2023,7,McCaffrican Americans,Michael Meyers,133.38,123.96
2023,9,Dirty Terps,Michael Meyers,120.88,118.7
2023,13,Team Bucci,Michael Meyers,117.98,91.66
2023,3,Average Low's,McCaffrican Americans,150.58,140.98
2023,5,Better Call Hall,McCaffrican Americans,144.08,84.04
2023,9,Team Filinger,McCaffrican Americans,137.8,101.28
2023,10,Team Bucci,McCaffrican Americans,130.68,126.22
2023,11,BOX BROS,McCaffrican Americans,127.76,109.66
2023,12,Average Low's,McCaffrican Americans,122.62,115.68
2023,2,Average Low's,Loading 2024…..,102.1,70.06
2023,3,Olave Garden,Loading 2024…..,155.98,103.16
2023,4,Better Call Hall,Loading 2024…..,145.3,87.58
2023,6,McCaffrican Americans,Loading 2024…..,137.12,129.18
2023,7,Dirty Terps,Loading 2024…..,148.46,76.84
2023,8,Team Filinger,Loading 2024…..,107.4,105.76
2023,9,Team Bucci,Loading 2024…..,115.02,100.62
2023,10,BOX BROS,Loading 2024…..,152.96,112.96
2023,11,Average Low's,Loading 2024…..,99.18,93.2
2023,12,Olave Garden,Loading 2024…..,142.96,77.22
2023,14,Michael Meyers,Loading 2024…..,125.14,119.6
2023,2,Team Bucci,Dirty Terps,149.56,100.92
2023,3,BOX BROS,Dirty Terps,163.92,144.68
2023,4,Average Low's,Dirty Terps,148.02,99.16
2023,8,McCaffrican Americans,Dirty Terps,171.58,138.56
2023,10,Team Filinger,Dirty Terps,112.58,100.22
2023,11,Team Bucci,Dirty Terps,143.2,116.2
2023,14,Olave Garden,Dirty Terps,111.22,82.58
2023,1,Loading 2024…..,BOX BROS,98.02,95.64
2023,2,McCaffrican Americans,BOX BROS,128.48,121.54
2023,4,Team Filinger,BOX BROS,124,114.72
2023,6,Michael Meyers,BOX BROS,128.18,126.24
2023,7,Average Low's,BOX BROS,195.16,77.26
2023,12,Dirty Terps,BOX BROS,155.9,105.14
2023,13,Team Filinger,BOX BROS,142.88,95.72
2023,14,Team Bucci,BOX BROS,133.42,88.62
2023,2,Olave Garden,Better Call Hall,122.58,104.04
2023,3,Michael Meyers,Better Call Hall,109.3,70.86
2023,6,Dirty Terps,Better Call Hall,131,90.22
2023,7,Team Filinger,Better Call Hall,133.28,79.5
2023,9,BOX BROS,Better Call Hall,138.08,124.86
2023,12,Michael Meyers,Better Call Hall,189.66,158.94
2023,13,Loading 2024…..,Better Call Hall,151.2,135.66
2023,14,McCaffrican Americans,Better Call Hall,150.14,118.94
2023,1,Better Call Hall,Average Low's,146.04,82.74
2023,6,Team Bucci,Average Low's,112.46,110.14
2023,8,Michael Meyers,Average Low's,140.02,99.3
2023,9,Olave Garden,Average Low's,104.12,89.2
2023,10,Better Call Hall,Average Low's,125.76,82.6
2023,13,Dirty Terps,Average Low's,137.62,131.1
2023,14,Team Filinger,Average Low's,129.36,123.14
